tracking_id,customer_id,ad_id,tracking_type,order_id,tracking_date
T0103,C0008,AD005,Click,,2024-11-02
T0104,C0010,AD002,Conversion,O0085,2025-09-01
T0105,C0033,AD009,Impression,,2024-04-07
T0106,C0010,AD010,Conversion,O0023,2025-08-17
T0107,C0033,AD007,Conversion,O0078,2025-03-03
T0108,C0027,AD006,Impression,,2024-06-19
T0109,C0026,AD006,Conversion,O0061,2024-08-05
T0110,C0029,AD003,Conversion,O0055,2024-12-04
T0111,C0009,AD003,Impression,,2025-02-19
T0112,C0045,AD001,Click,,2025-06-07
T0113,C0001,AD001,Click,,2025-05-11
T0114,C0036,AD009,Impression,,2023-12-30
T0115,C0032,AD008,Impression,,2025-05-01
T0116,C0030,AD009,Conversion,O0084,2024-09-16
T0117,C0026,AD007,Impression,,2025-06-06
T0118,C0034,AD009,Click,,2025-05-11
T0119,C0012,AD009,Click,,2024-12-19
T0120,C0039,AD010,Impression,,2024-01-24
T0121,C0016,AD002,Click,,2024-06-06
T0122,C0030,AD002,Conversion,O0002,2025-09-09
T0123,C0048,AD002,Impression,,2024-05-27
T0124,C0049,AD001,Click,,2025-02-28
T0125,C0014,AD001,Conversion,O0026,2025-02-17
T0126,C0023,AD006,Impression,,2025-02-07
T0127,C0010,AD007,Conversion,O0082,2025-04-03
T0128,C0050,AD003,Conversion,O0004,2025-01-14
T0129,C0034,AD002,Click,,2024-12-14
T0130,C0019,AD003,Click,,2025-01-27
T0131,C0038,AD005,Click,,2024-07-06
T0132,C0001,AD006,Impression,,2024-01-15
T0133,C0043,AD009,Click,,2023-12-21
T0134,C0040,AD007,Click,,2024-11-08
T0135,C0041,AD006,Impression,,2023-12-19
T0136,C0017,AD003,Impression,,2024-12-30
T0137,C0035,AD006,Conversion,O0085,2025-08-31
T0138,C0035,AD005,Impression,,2024-02-02
T0139,C0027,AD006,Click,,2025-04-05
T0140,C0001,AD006,Conversion,O0036,2025-07-28
T0141,C0045,AD008,Conversion,O0053,2025-08-05
T0142,C0048,AD002,Click,,2024-02-25
T0143,C0048,AD006,Conversion,O0039,2025-07-08
T0144,C0017,AD001,Impression,,2023-09-11
T0145,C0014,AD007,Conversion,O0003,2025-09-02
T0146,C0013,AD003,Click,,2025-08-11
T0147,C0027,AD009,Click,,2024-06-02
T0148,C0025,AD005,Click,,2024-02-25
T0149,C0028,AD007,Click,,2023-09-02
T0150,C0011,AD005,Click,,2024-05-14
T0151,C0006,AD001,Click,,2024-05-03
T0152,C0016,AD002,Conversion,O0026,2024-11-19
T0153,C0024,AD004,Conversion,O0100,2025-01-13
T0154,C0016,AD007,Click,,2024-05-31
T0155,C0005,AD002,Click,,2024-02-04
T0156,C0017,AD005,Impression,,2023-11-11
T0157,C0040,AD002,Conversion,O0061,2024-09-28
T0158,C0048,AD002,Conversion,O0076,2025-06-20
T0159,C0006,AD003,Impression,,2024-01-18
T0160,C0009,AD009,Impression,,2025-06-09
T0161,C0039,AD002,Conversion,O0030,2024-12-17
T0162,C0027,AD007,Impression,,2024-05-13
T0163,C0010,AD006,Impression,,2024-10-04
T0164,C0003,AD006,Click,,2023-12-02
T0165,C0023,AD004,Click,,2024-11-29
T0166,C0007,AD002,Impression,,2023-10-06
T0167,C0019,AD006,Click,,2024-11-11
T0168,C0044,AD008,Conversion,O0084,2025-03-30
T0169,C0047,AD003,Impression,,2024-11-30
T0170,C0011,AD005,Impression,,2025-04-21
T0171,C0013,AD006,Click,,2024-05-16
T0172,C0005,AD005,Impression,,2024-01-25
T0173,C0048,AD005,Conversion,O0043,2025-07-08
T0174,C0031,AD008,Conversion,O0018,2025-02-11
T0175,C0010,AD007,Conversion,O0008,2025-08-11
T0176,C0017,AD008,Conversion,O0056,2024-07-31
T0177,C0002,AD008,Click,,2025-06-24
T0178,C0008,AD010,Click,,2023-09-02
T0179,C0049,AD007,Impression,,2025-08-09
T0180,C0048,AD007,Click,,2024-05-13
T0181,C0001,AD004,Conversion,O0012,2025-08-16
T0182,C0017,AD004,Click,,2024-07-10
T0183,C0038,AD003,Click,,2024-07-27
T0184,C0018,AD002,Impression,,2024-11-29
T0185,C0048,AD001,Click,,2024-12-27
T0186,C0013,AD005,Conversion,O0099,2024-10-17
T0187,C0004,AD002,Click,,2024-08-18
T0188,C0006,AD005,Impression,,2025-02-20
T0189,C0042,AD006,Click,,2024-10-26
T0190,C0043,AD008,Conversion,O0004,2024-11-11
T0191,C0007,AD001,Click,,2025-08-29
T0192,C0015,AD002,Impression,,2024-06-01
T0193,C0039,AD002,Conversion,O0071,2025-05-06
T0194,C0004,AD009,Impression,,2025-05-29
T0195,C0018,AD006,Conversion,O0020,2025-08-16
T0196,C0021,AD009,Impression,,2025-08-01
T0197,C0028,AD001,Conversion,O0043,2024-04-26
T0198,C0007,AD009,Impression,,2024-07-06
T0199,C0033,AD005,Impression,,2023-12-06
T0200,C0026,AD001,Impression,,2025-04-05
